DiseaseID	Score
194190	0.0222219137325434
607872	0.0220699034298892
300953	0.0217414461815271
616489	0.0215588026385402
216340	0.0215139922243058
246200	0.0214161234030262
221790	0.0213118851520617
248770	0.0213085467469218
248370	0.0212990135592459
251240	0.0212392966831091
210720	0.00133526722152131
223370	0.00132514606061781
210600	0.0013151444908045
216411	0.00130587320079374
300918	0.00129564385021012
609136	0.00129509363752694
311450	0.00129390211481788
169170	0.00128964320208662
211910	0.00116799697553276
227330	0.00110791399966147
148050	0.00110631664445695
130070	0.00110132158644406
259690	0.00108192803312287
616214	0.00102918164411875
151050	0.000736250631554745
601803	0.000672417144757796
613805	0.000666901687503669
194050	0.00062451378711157
216400	0.000620114908782153
262190	0.000619437778030478
133540	0.000617437817763688
608612	0.000603975451425866
303600	0.000590303864543756
615381	0.00057208661469352
233805	0.00056580509174621
614008	0.000559022583285156
616353	0.000552921293389089
608594	0.000499807209037951
269700	0.000491468883551228
268020	0.000461393130482711
207780	0.000460928099063544
147791	0.000444404991660434
261540	0.000358941293514582
214800	0.000357134190073424
304050	0.000289799467652922
611913	0.000285733463475128
616263	0.000278613568223555
609069	0.000276347564271357
601808	0.000275789701049909
115150	0.000247015165654898
248910	0.00024506337375695
613457	0.000244409861407356
615502	0.000240917388316471
614114	0.000239495418188865
610883	0.00023617180400021
602398	0.000234930562850735
606232	0.000234502776829069
613706	0.000231183206338831
611961	0.000230552827131685
615280	0.000230147135512326
614501	0.000229478185486484
300215	0.000229142191145415
609528	0.000228888405627937
614261	0.000228478023505095
615966	0.000227776403022565
615926	0.000227493473331827
309800	0.000225825847277424
611962	0.000221962664552019
270400	0.000200245756787798
605039	0.000187567996102127
100300	0.000166461204614734
138770	0.000163161374673362
274205	0.000163142292703995
210710	0.000152574175237402
217980	0.000144719695183893
609968	0.000139948116171375
611228	0.000134255440951594
612691	0.000134187936718613
612577	0.00013411548100128
610549	0.000133697496282901
146390	0.000131344465048391
612947	0.00012892619987317
225040	0.000127992338362125
130650	0.000125992816481863
194070	0.000125795294574773
180860	0.000124631552895656
209970	0.000119249562027366
235830	0.000118740360916424
615236	0.000118701297229132
601355	0.000118588123664344
600092	0.000117589993078757
212720	0.000117277839338371
602535	0.00011657043935733
602361	0.000115851520799085
616001	0.000115449735180626
263650	0.000114854986140719
613026	0.000114759694970584
311900	0.000114729156993335
613623	0.000114609939886266
600159	0.000113132924483846
218090	0.000112422647358216
207770	0.000111980231948067
269150	0.000108182744128574
176670	9.23579182859541e-05
150230	8.5683802356549e-05
268310	8.27977532048839e-05
200990	8.23445762040047e-05
241410	7.78066925040114e-05
610651	7.67078987796718e-05
614851	7.43074911343473e-05
180849	7.1002093865016e-05
201000	6.90074934401291e-05
271270	6.87319615227859e-05
151660	6.84515479063992e-05
248700	6.84201718900003e-05
601427	6.80233931705684e-05
101800	6.76681890670967e-05
241760	6.58299826105103e-05
615162	6.55253849352615e-05
247200	6.50130544392872e-05
308205	6.4521704373954e-05
309610	6.4064737144665e-05
610443	6.30401075790698e-05
206900	6.25796416402687e-05
540000	6.23909505947513e-05
216550	6.23491715447125e-05
612394	6.12390380752713e-05
602501	6.07621308116033e-05
109400	6.07459982489076e-05
265000	5.90558131671621e-05
300887	5.90091211779907e-05
251300	5.8441317306548e-05
257970	5.83999716101761e-05
249310	5.83677133842933e-05
109120	5.81742257995803e-05
616580	5.78648969634895e-05
276100	5.6486841899052e-05
113620	5.64197256841333e-05
117550	5.62317884149152e-05
605822	5.61627662446152e-05
245552	5.61264355634567e-05
115470	5.55239395549993e-05
222448	5.54140890475018e-05
130720	5.52747285687932e-05
245550	5.49860821510986e-05
610680	5.48458734908448e-05
261515	5.45969370613507e-05
309801	5.37249705099718e-05
600252	5.35697238591122e-05
615877	5.33825537964869e-05
314600	5.3120034213704e-05
275210	5.30331651979194e-05
218350	5.28142376470828e-05
614866	5.2600647421596e-05
190685	5.23834707048298e-05
271960	5.23076777857557e-05
210350	5.19770835902615e-05
300421	5.19330239852819e-05
609640	5.19295140319866e-05
253320	5.17410667334515e-05
600122	5.16213734541424e-05
209770	5.11943080692841e-05
608279	5.09542802042083e-05
156620	5.08861412333825e-05
601666	5.08707058058933e-05
612520	5.08044056568737e-05
156500	5.00214714480798e-05
223800	4.92674437046055e-05
184252	4.90392713796244e-05
600000	4.88322149635207e-05
612913	4.88125010996269e-05
300942	4.85622047406284e-05
605588	4.78384883296065e-05
159001	4.58310114183723e-05
181350	4.57948477141836e-05
613205	4.51115623979766e-05
115200	4.51043228339269e-05
212112	4.50404451399014e-05
610140	4.50147966602105e-05
135900	4.45007869645281e-05
300360	4.29724561378577e-05
203800	4.16900831794204e-05
266255	4.13101476527432e-05
608600	4.09239239543478e-05
277700	3.94755742114379e-05
107480	3.88559714699988e-05
304110	3.78819606948506e-05
182212	3.70010595121187e-05
125852	3.58676204488186e-05
600325	3.5074803102474e-05
