DiseaseID	Score
615214	0.0210057531088841
616005	0.0209943610666695
194050	0.00578477493640551
309000	0.00570128043453974
608612	0.00567930004737569
262500	0.0056702110301409
138920	0.0056459506587602
180500	0.00564202905385124
223370	0.00564076902084085
606176	0.00563566834639959
257850	0.00562640708001567
608624	0.00562268413157391
609821	0.000800850325934888
613500	0.000445843646305882
613502	0.000439610832046848
612692	0.000435904005342523
233650	0.000427099110190133
603585	0.000419814424569854
193670	0.00041811586595959
601495	0.000417287423622233
615206	0.000412952761782792
211910	0.00036962280259708
612940	0.000361625785506049
606843	0.000359562191256197
614890	0.000344641918493058
602249	0.000344413944938817
300584	0.000342928201634406
312780	0.000342018703040426
605258	0.000341555847058262
125230	0.000341189591669825
613495	0.000338601565019577
616433	0.000338316038633518
613496	0.000336326970595613
242870	0.000335201309394352
300636	0.000332769433817764
616576	0.000332629362062724
601088	0.00030455164922908
309580	0.000289895180405491
613606	0.000288699415055085
608545	0.000281714337098263
616214	0.000251668205418271
604229	0.000206834517970094
307030	0.000199853142858385
610256	0.00018490437284346
210720	0.000182271199898853
601499	0.000179380985476796
305100	0.000174324133374793
275400	0.000171807561971242
106230	0.000171609470188521
300869	0.000171176763148492
214800	0.000150318207819329
234100	0.000148153780593558
147630	0.00014599234207474
612227	0.000145301735406727
193700	0.000142753753039699
125853	0.000141529652974134
143890	0.000125245025223401
233805	0.000109554420215045
176670	0.000108264476347143
601812	0.000108257140079352
248370	0.000106765170526106
614008	0.000105376309307761
615381	0.000102894270726925
201200	0.000102370669090081
210900	9.16520855095002e-05
164200	8.74049792853637e-05
268400	8.61479193476369e-05
135900	8.58205586531687e-05
123450	8.41508011285672e-05
211980	8.3026960618403e-05
616108	7.41707269294584e-05
147791	7.38056907007391e-05
157980	7.35060785534332e-05
170390	7.33792544914677e-05
277150	7.24266562029286e-05
147400	7.2373226841401e-05
615789	7.15477692956776e-05
233500	7.14338215475981e-05
606772	7.12285898567543e-05
601552	7.10170640233174e-05
176310	7.04647210064129e-05
300555	7.04253643047671e-05
170100	7.0414976874073e-05
606056	7.03688048396737e-05
250250	7.02608789147639e-05
152950	6.99088538276676e-05
615057	6.99011348172305e-05
248910	6.96969262030619e-05
241410	6.95449549452654e-05
275210	6.94076533277245e-05
251240	6.92672763025964e-05
614083	6.90526535891363e-05
169400	6.88487798658275e-05
612947	6.81546512845175e-05
233810	6.81102021750572e-05
601427	6.8069051606335e-05
300861	6.80655170753203e-05
225040	6.79216533387282e-05
219800	6.73788822125083e-05
300815	6.60438344968082e-05
236490	6.37734489374756e-05
615758	5.87876004763663e-05
615824	5.69039756469675e-05
606407	5.6580373299623e-05
615969	5.56988376568618e-05
615513	5.5546418931415e-05
263700	5.51193061254513e-05
612132	5.45843200994622e-05
228000	5.45392851002654e-05
266270	5.44663378009725e-05
166700	5.44378820253734e-05
221995	5.38628852484937e-05
133100	5.25644456840586e-05
607598	5.16196126713807e-05
116600	4.93101760794069e-05
225410	4.36480809386189e-05
268310	4.31816164648586e-05
114550	4.28381447879598e-05
613886	4.15366324757805e-05
616511	4.15318865210442e-05
143100	4.05809847131369e-05
601536	4.03119940293469e-05
114500	3.92753255679372e-05
137600	3.61189175438536e-05
180550	3.52252887305364e-05
114480	3.52247909609207e-05
601859	3.49606133437352e-05
607594	3.26219254349109e-05
607785	3.20900920685657e-05
613494	3.19601117110126e-05
616069	2.97489545217285e-05
613501	2.97268835761768e-05
615615	2.79702506768048e-05
613563	2.7411636822599e-05
614407	2.71308556555827e-05
605074	2.70463410056076e-05
152700	2.68280404652147e-05
608106	2.64168300742352e-05
613659	2.64072628968945e-05
300299	2.61377117271598e-05
147060	2.56283506418019e-05
615952	2.56058251799924e-05
303600	2.55480729803339e-05
615617	2.53183112318261e-05
188030	2.50136447906731e-05
261540	2.31546418981777e-05
273800	2.29209024323606e-05
123700	2.26923601385892e-05
266280	2.24651590403248e-05
613065	2.24489395071611e-05
185500	2.24188583842397e-05
615401	2.22591044179879e-05
602562	2.22283967610291e-05
312863	2.1968121308581e-05
602535	2.18498040965581e-05
145500	2.18000552458987e-05
245600	2.17955805858525e-05
604370	2.15807880641234e-05
614114	2.13292346076431e-05
313900	2.12663137593754e-05
202700	2.12176661413436e-05
180860	2.11423871987356e-05
602080	2.05024593685512e-05
616437	2.0355641324611e-05
180849	2.00357233780359e-05
167000	1.99974932917744e-05
147050	1.91269110013521e-05
218040	1.91229539613691e-05
164220	1.91133493694792e-05
240500	1.86732816366143e-05
137800	1.86369802530859e-05
606764	1.83663827080638e-05
169100	1.83260756192756e-05
108320	1.82867766862815e-05
228560	1.82461934946077e-05
311300	1.80831419298616e-05
270400	1.79482594853208e-05
608156	1.78777752409189e-05
615541	1.78531153295382e-05
608203	1.76361652959855e-05
133200	1.74875524693444e-05
304120	1.74801069067407e-05
610443	1.7471503582562e-05
106280	1.7462977915784e-05
605013	1.74515991869524e-05
231200	1.73023427808508e-05
308230	1.72631458970455e-05
606232	1.6946388620059e-05
255800	1.69174450584097e-05
241550	1.6858664475123e-05
277480	1.6779697030888e-05
221770	1.67311360966522e-05
218400	1.66452578849114e-05
186100	1.65754933815336e-05
600309	1.65619399242551e-05
104100	1.65585347637506e-05
162900	1.64935180070148e-05
146830	1.61494107260121e-05
260950	1.60084684811885e-05
615577	1.54361136162038e-05
217090	1.53959129584929e-05
125852	1.49628951424145e-05
250790	1.48980319728944e-05
188470	1.47775641400737e-05
150250	1.46985055212165e-05
176807	1.43672691878363e-05
273300	1.43311268880559e-05
608957	1.4252396527655e-05
173470	1.40765227472314e-05
600268	1.38157915705801e-05
603387	1.37414569349929e-05
145680	1.35911087609699e-05
254450	1.35861866971935e-05
154800	1.35160028427682e-05
115430	1.34923062699204e-05
105210	1.34909967651724e-05
269840	1.34680987544828e-05
610706	1.33731985806624e-05
172800	1.33491010726069e-05
300291	1.33036111445451e-05
606392	1.32915624333195e-05
603909	1.32817442420284e-05
173590	1.3045123432635e-05
136300	1.30380965605745e-05
252500	1.29402105503984e-05
613011	1.27113247133344e-05
600802	1.26745375939916e-05
611521	1.26739379670918e-05
613235	1.26242108700936e-05
137560	1.2601236903335e-05
614075	1.25963405766692e-05
300367	1.25955680146094e-05
268040	1.25867569805109e-05
207300	1.23859093161092e-05
145410	1.23766370445956e-05
262850	1.22591248854387e-05
235730	1.22545810084056e-05
613370	1.2235633773398e-05
615974	1.21715890346212e-05
182290	1.21714929344235e-05
609939	1.2156672365633e-05
226650	1.20411460204869e-05
608184	1.18992520696037e-05
230740	1.18908481445754e-05
601820	1.17868595766476e-05
208400	1.17484630626129e-05
203800	1.17370228635406e-05
163200	1.16728584482121e-05
263300	1.16719490549603e-05
192430	1.16662434489656e-05
615607	1.16627603399069e-05
216550	1.16403019317713e-05
194190	1.16026304839341e-05
601808	1.15504889596244e-05
606744	1.14912626012478e-05
213600	1.14203350667114e-05
609425	1.14185596760552e-05
611369	1.13314291188099e-05
226730	1.13229478120647e-05
609529	1.12982430669961e-05
610725	1.1282729569319e-05
610582	1.12686080175453e-05
137215	1.12534407904759e-05
604173	1.12501654228625e-05
606156	1.12441252990068e-05
610253	1.12260930672346e-05
309500	1.11626129528415e-05
109800	1.10868578197337e-05
616592	1.10846876446884e-05
614521	1.10141650069648e-05
615280	1.09510643074019e-05
613075	1.08791072272752e-05
216400	1.0868164873477e-05
243800	1.06534631574521e-05
160150	1.06235327625907e-05
156610	1.05731979889997e-05
608971	1.05568810461033e-05
607330	1.05486061121132e-05
216340	1.05476441336428e-05
613177	1.04847390726966e-05
300068	1.04787281649158e-05
600880	1.0451496867001e-05
611867	1.03978712116027e-05
116920	1.03900499945463e-05
616329	1.03854257456389e-05
235510	1.03830085028514e-05
312300	1.03617003809844e-05
270450	1.03408023352165e-05
616368	1.03381955084719e-05
612946	1.03352765136869e-05
300633	1.02959712662637e-05
613949	1.02845262743831e-05
313200	1.0265883872775e-05
136140	1.02644739445643e-05
300953	1.02489489576112e-05
601347	1.01954146623952e-05
117550	1.01902270206636e-05
131440	1.01746136009807e-05
309800	1.01638049185018e-05
188400	1.0144310756571e-05
249630	1.01380643011506e-05
610738	1.01278736695259e-05
609069	1.01264559690684e-05
137550	1.0111060910077e-05
610965	1.01093697024351e-05
602089	1.00957759910594e-05
610205	1.00946799391248e-05
135500	1.00764235287491e-05
602782	1.00626558340178e-05
613735	1.00337995552826e-05
209900	1.00168074392477e-05
160900	9.99889443820616e-06
300868	9.9612482655719e-06
253250	9.95383783230291e-06
614080	9.95087087233391e-06
164210	9.94145308332636e-06
613680	9.92694022545611e-06
163950	9.9108324685475e-06
118450	9.90906113821795e-06
176690	9.8861750445047e-06
107500	9.88357615247044e-06
607016	9.87049302888351e-06
300519	9.84668602944265e-06
300855	9.84574163145978e-06
611087	9.84215414676453e-06
605822	9.82309230075855e-06
271400	9.81208605337493e-06
221820	9.80658945828503e-06
143880	9.80557865161055e-06
601095	9.79364098147798e-06
269920	9.79276736175255e-06
616603	9.79221137002579e-06
300301	9.76899515019705e-06
614557	9.76519868282832e-06
106210	9.72836439852598e-06
232400	9.71929243787602e-06
615207	9.71490368560315e-06
268800	9.71213861216078e-06
614527	9.70146879434197e-06
615398	9.68774081069135e-06
611718	9.67469638294464e-06
309400	9.59070795036273e-06
247410	9.57748022710601e-06
271960	9.55588748889959e-06
122430	9.5554035629817e-06
245550	9.55336806566961e-06
614669	9.55131420442486e-06
227280	9.55094046586651e-06
211200	9.53660229486589e-06
267400	9.52238594946001e-06
610798	9.51547321676342e-06
233670	9.51450838521168e-06
257970	9.51375753516048e-06
219721	9.50988910563312e-06
314300	9.4970331899374e-06
600195	9.4493467959254e-06
616445	9.44074376845059e-06
104300	9.41632244665216e-06
209920	9.37402254470322e-06
226700	9.35959047792298e-06
258480	9.34008730054257e-06
132600	9.32775321063442e-06
540000	9.19414075013475e-06
188550	9.16898148341796e-06
607676	9.15243186407254e-06
615721	9.14409261605218e-06
614813	9.08617729776656e-06
600920	9.07793762275452e-06
260370	9.07190178794476e-06
187800	9.0493038624866e-06
151600	9.02935307402491e-06
615707	9.01918365884035e-06
613406	9.01773689291175e-06
228550	8.9836143617304e-06
615530	8.96476090750697e-06
615007	8.8949943415628e-06
606963	8.89124097226752e-06
615592	8.8334683127663e-06
187950	8.82695126455152e-06
102700	8.8235014712364e-06
113970	8.81141895290413e-06
608747	8.78392703923274e-06
615075	8.78217467364568e-06
242850	8.75201093864358e-06
125851	8.75150244627775e-06
615515	8.66220452165042e-06
130700	8.65615961740144e-06
614370	8.59470626820398e-06
609889	8.57517037617002e-06
121850	8.56253849073475e-06
602483	8.55710485793935e-06
607832	8.55472245145195e-06
615937	8.55116286265552e-06
608265	8.47057489015391e-06
614200	8.45925990655393e-06
310400	8.43382285140235e-06
602485	8.42479380157572e-06
242700	8.41475220110236e-06
612961	8.40042194419804e-06
304110	8.39299449358953e-06
269150	8.34347553143517e-06
611548	8.33964050864666e-06
215518	8.31819613412757e-06
257150	8.31819613412757e-06
608654	8.30841965223601e-06
311450	8.26602960728625e-06
612783	8.25967706411662e-06
192605	8.25216239599452e-06
615185	8.24833498719581e-06
193100	8.24151258918801e-06
309630	8.21860309245229e-06
137050	8.19729052613743e-06
614700	8.18920936520223e-06
600995	8.172332530386e-06
135300	8.14704306448033e-06
256300	8.14200158543355e-06
308700	8.13794051710641e-06
309585	8.12141446613888e-06
614172	8.11201235114648e-06
614450	8.10138518874232e-06
613792	8.09215147799457e-06
607872	8.08380444313796e-06
616022	8.06605672707034e-06
601559	8.05788942249505e-06
613517	8.03447327969387e-06
242840	8.01171187666492e-06
612160	7.98444068237655e-06
614201	7.9837298693465e-06
607855	7.97286226860695e-06
610733	7.9435071200026e-06
300640	7.92969357099271e-06
601382	7.91983107348423e-06
615191	7.91284616415914e-06
264080	7.9084734435223e-06
615235	7.88615014085987e-06
615960	7.86682642501843e-06
145250	7.85085631890692e-06
615962	7.84469704207315e-06
614115	7.83775371904071e-06
106220	7.801441851286e-06
300511	7.79067039658809e-06
615473	7.78131901346771e-06
268020	7.77174779159157e-06
